INSTALL_YR,INSTALL_MO,OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,LAT,LON,point
2012,2,2731,2700 16TH ST,Dear Mom,HARRISON,SIDEWALK,1,2,{77FD698D-E266-47B8-A431-FD0CFEB7C702},37.765694,-122.413508,POINT (-122.41350779595658 37.765694004300556)
2016,10,3508,592 GUERRERO ST,Bi Rite Offices,GUERRERO,SIDEWALK,1,2,{54D8ACE2-9B58-4C94-BFE6-24A40E28B1F8},37.761651,-122.423932,POINT (-122.42393197803898 37.76165105247964)
2002,0,3005,2799 24TH ST,Brava Theatre,24TH,SIDEWALK,1,2,{D45A93FA-5B58-40C5-8CC7-74C35F7EC123},37.752643,-122.408009,POINT (-122.40800889775316 37.75264306475145)
2007,0,2534,420 BERRY ST,UNKNOWN,BERRY,SIDEWALK,3,3,{EFF748B0-40F2-4242-8B56-64726A531AAF},37.772004,-122.399071,POINT (-122.39907079695446 37.7720040024194)
2006,0,1353,268 CHURCH ST,Underglass Framing,CHURCH,SIDEWALK,1,2,{6D0741C0-D79F-49BE-8A6B-C30247DF46AC},37.76637,-122.429069,POINT (-122.4290687928243 37.76637000463099)
0,0,1451,3984 24TH ST,residential,24TH,SIDEWALK,1,2,{C5FB5B7C-F298-45BD-B0FB-CC4337E7382B},37.751693,-122.431431,POINT (-122.43143079433544 37.75169259646299)
2003,0,493,295 DIVISADERO ST,Elliptical Bodywork,DIVISADERO,SIDEWALK,1,2,{1F09AC53-4441-4EDD-BC74-D3AF93E2C83A},37.772023,-122.437503,POINT (-122.43750279116414 37.772023005112004)
0,0,2459,1355 MARKET ST,Twitter,MARKET,SIDEWALK,0,0,{5B0AB234-44D5-4615-A663-A2918C7D8F98},37.776735,-122.416358,POINT (-122.41635829371302 37.776734603050905)
2010,0,657,3896 24TH ST,Noe Valley Pizza Restaurant,24TH,SIDEWALK,1,2,{E7A34BD8-4925-4558-9A42-53A6A5986381},37.751806,-122.429368,POINT (-122.42936779461375 37.75180600695278)
2002,0,2867,1247 09TH AVE,Sunset Gym,09TH,SIDEWALK,1,2,{E3D8F3B3-8592-4232-9D2F-DD0311F02009},37.765058,-122.466699,POINT (-122.46669878737704 37.765058008132165)
2012,4,763,424 OCTAVIA ST,Biergarten and Patricia's Green,OCTAVIA,SIDEWALK,4,8,{CC604687-76EA-47D3-9FBE-5D9FB37AC986},37.776034,-122.424163,POINT (-122.42416279249585 37.77603400428857)
2004,0,2156,120 BATTERY ST,UNKNOWN,BATTERY,SIDEWALK,1,2,{8F2EE462-4E2D-49BB-9ACC-EDCF6CCBFEA4},37.79252,-122.399403,POINT (-122.39940279533411 37.79252000011586)
2003,0,2491,2279 MARKET ST,UNKNOWN,MARKET,SIDEWALK,1,2,{247C271D-324D-49DF-AC2B-D66C7AB61296},37.7645,-122.432186,POINT (-122.43218579341713 37.76450000505803)
2004,0,1072,2950 24TH ST,El Farolito Restaurant,24TH,SIDEWALK,1,2,{F1254AA5-429B-40C0-B15D-25A82926CF64},37.75285,-122.411123,POINT (-122.41112279791578 37.75285000442235)
2015,8,2265,11 03RD ST,Subway,03RD,SIDEWALK,0,0,{DB3889C8-A0D5-4FFF-884D-D9842429B4FF},37.787436,-122.403293,POINT (-122.40329325759136 37.78743576775198)
2017,4,3472,1799 Mission Street,Armory Club,MISSION,SIDEWALK,2,4,{D5DB44BF-0A6E-45EC-B00B-C60E5ED864C9},37.7683,-122.419897,POINT (-122.41989665554874 37.768300373553124)
2003,0,2220,3409 23RD ST,Quetzalcoatz Tattoo,23RD,SIDEWALK,1,2,{4E3EA7D0-2A7B-40EE-80B3-9C37732BFC4A},37.75348,-122.42106,POINT (-122.42105979597025 37.753480005137085)
0,0,2885,2800 24TH ST,Pop's Bar,YORK,SIDEWALK,1,2,{FB9E467F-094A-47CA-8066-6CC2A51018BC},37.753033,-122.408386,POINT (-122.4083854968074 37.75303305498103)
2017,4,3471,3215 Cesar Chavez Street,The Crayon Box Preschool,CESAR CHAVEZ,SIDEWALK,2,4,{03838646-C846-4ECB-B5E2-D5659F2122BE},37.748119,-122.414457,POINT (-122.41445740269393 37.74811882213899)
2010,0,2986,516 HAYES ST,Acme Surplus,HAYES,SIDEWALK,1,2,{71769BFD-4B6F-4508-9B97-5DC226D1F61A},37.776811,-122.424899,POINT (-122.42489879252163 37.7768110031388)
2004,0,1673,165 CAPP ST,Mission Neighborhood Resource Center,CAPP,SIDEWALK,1,2,{B5545013-164C-47BF-989F-95092DA14A76},37.764053,-122.418299,POINT (-122.41829879468503 37.76405300394633)
2012,9,456,1370 MISSION ST,Advance English Academy,MISSION,SIDEWALK,1,2,{A2D4D6D1-6E15-43EC-A4AD-6F43FAED37A0},37.775733,-122.415723,POINT (-122.41572279330896 37.775733003857624)
2013,1,1062,601 MONTGOMERY ST,Margolis & Tisman LLP and multiple,MONTGOMERY,SIDEWALK,1,2,{1B9A78FD-11C4-4C1C-9E42-880F2B710AAC},37.794831,-122.403514,POINT (-122.40351379328972 37.79483100040224)
2015,10,3024,1696 HAYES ST,Central Coffee,HAYES,SIDEWALK,4,8,{6F2D8DE7-A277-476C-8CA9-C7DB5E5D5CF2},37.774228,-122.444337,POINT (-122.44433712820229 37.774227579514495)
2013,6,1273,199 VALENCIA ST,Zeitgeist,DUBOCE,SIDEWALK,8,16,{8773A698-0961-4307-A2F5-AC519C43E35D},37.770023,-122.422085,POINT (-122.4220847939714 37.77002300442986)
2002,0,618,152 CLEMENT ST,CitiKids,CLEMENT,SIDEWALK,1,2,{606461A3-F02A-4C81-B66B-15CFA610FE14},37.783345,-122.461036,POINT (-122.46103578565305 37.783345006629176)
2011,11,194,231 FRANKLIN ST,nojo restaurant,FRANKLIN,SIDEWALK,2,4,{AA1D20C2-57AD-401B-B9D0-B569E8A7BDA8},37.776791,-122.421573,POINT (-122.42157279298202 37.7767910032568)
0,0,979,1390 MARKET ST,Fox Plaza,MARKET,SIDEWALK,1,2,{5DC63494-58EF-47D4-8A26-2EB13435F5CF},37.777219,-122.417348,POINT (-122.41734779334836 37.77721900363082)
2002,0,2038,425 HYDE ST,UNKNOWN,HYDE,SIDEWALK,1,2,{7DBCE394-0FAC-42F2-8D2F-B589E4AFE5C3},37.784799,-122.416491,POINT (-122.41649079268754 37.784799002354404)
2013,12,419,865 MARKET ST,Abercrombie & Fitch,MARKET,SIDEWALK,2,4,{A34A15AE-4EA1-4B01-A758-C53841BEC70B},37.783942,-122.407145,POINT (-122.40714479372019 37.783942002444284)
2002,0,2630,1050 MCALLISTER ST,Ella Hill Hutch Communtiy Center,MCALLISTER,SIDEWALK,1,2,{8868B9EA-A88A-4927-BB4D-FA910A4AF16A},37.779416,-122.429308,POINT (-122.42930779226121 37.7794160046249)
2003,0,2188,375 11TH ST,DNA Lounge,11TH,SIDEWALK,1,2,{3CF8B693-55D9-4F59-89DE-8C20D3C52E3A},37.771074,-122.412591,POINT (-122.4125907951505 37.77107400327613)
2010,0,2933,3648 24TH ST,St. James School,24TH,SIDEWALK,1,2,{4A3326A3-D044-43EE-BB13-A4456F1B5800},37.752076,-122.423838,POINT (-122.42383779531319 37.752076005713846)
2004,0,2054,3388 24TH ST,Phat Philly,24TH,SIDEWALK,1,2,{C9C21F87-6335-4DFF-BBEF-982FB9DF8B12},37.752242,-122.420361,POINT (-122.42036079591072 37.75224200550665)
2017,2,3469,558 Capp St.,Tenant's Union,CAPP,SIDEWALK,1,2,{979A840B-F343-413E-BE59-E5C3BCA4695A},37.757757,-122.417961,POINT (-122.41796134004923 37.757756509789836)
2011,8,1582,130 CHURCH ST,Golden Natural Foods,CHURCH,SIDEWALK,2,4,{22F9810C-42C0-4726-BFF2-C7CA4A7164B0},37.768849,-122.42943,POINT (-122.42942979315937 37.76884900507496)
2002,0,1704,2060 FILLMORE ST,Round Ground Coffee,FILLMORE,SIDEWALK,1,2,{F800C777-CCF5-4F5C-85D7-0D93D7357882},37.788693,-122.43357,POINT (-122.43356979009516 37.78869300332039)
2004,0,824,1474 HAIGHT ST,UNKNOWN,HAIGHT,SIDEWALK,1,2,{F7F45D37-6FE0-4D53-86D4-4AA5C3F937AD},37.77006,-122.44661,POINT (-122.44660979074146 37.770060006476896)
2004,0,866,630 IRVING ST,Crossroads,07TH,SIDEWALK,1,2,{4453F880-DA7F-4E2B-9D98-A9A4B9772252},37.76435,-122.464757,POINT (-122.46475678826363 37.764350007893384)
2010,0,2790,1 CLEMENT ST,Village Pizzeria,CLEMENT,SIDEWALK,1,2,{4D845CFE-0797-44C7-A78A-7500090CD3BC},37.782997,-122.459331,POINT (-122.45933078617054 37.78299700638557)
2017,2,3318,5155 03rd Street,The Shack,03RD,SIDEWALK,2,4,{3E01865B-94D1-4FBD-82DF-78218C75A9DC},37.731565,-122.391692,POINT (-122.39169220206124 37.73156526470196)
2002,0,86,2991 SACRAMENTO ST,Liege Home and Garden,SACRAMENTO,SIDEWALK,1,2,{73BA56B9-1FBC-4A31-86A7-4023B36C2957},37.788724,-122.441895,POINT (-122.44189458817512 37.788724444021675)
2013,1,1071,400 02ND ST,Dmax Imaging,HARRISON,SIDEWALK,1,2,{5A685058-4D35-4DC3-BFF6-8916D96D528F},37.783893,-122.395221,POINT (-122.39522079629056 37.783893001019685)
2012,11,2418,737 CORTLAND AVE,Tacos Los Altos,CORTLAND,SIDEWALK,1,2,{89F60B3B-06AB-4E94-BCBE-4EF3744D879F},37.739054,-122.414899,POINT (-122.41489879766225 37.73905400592945)
2015,1,2793,525 LAGUNA ST,Suppenkuche,HAYES; LAGUNA,SIDEWALK,3,6,{EE736B94-3C11-418D-B8FC-552F461279A3},37.776262,-122.426416,POINT (-122.42641589223665 37.77626180456507)
2013,10,1176,4831 MISSION ST,Excelsior Yoga,MISSION,SIDEWALK,1,2,{41C25E34-7C6B-4D95-A102-E3E41E015635},37.720936,-122.437283,POINT (-122.43728279674941 37.72093600973878)
2003,0,2207,2249 MARKET ST,UNKNOWN,MARKET,SIDEWALK,1,2,{E6886483-0229-431C-BB29-88019754E450},37.76505,-122.431879,POINT (-122.43187879264656 37.76505000560012)
2012,4,2100,251 RHODE ISLAND ST,Dos Pinas,RHODE ISLAND,SIDEWALK,1,2,{73714843-9449-4AA7-8687-97BB526E1A6B},37.766747,-122.402425,POINT (-122.40242479773813 37.76674700318893)
2002,0,2160,3010 CLEMENT ST,dental office,CLEMENT,SIDEWALK,1,2,{57A9D8F2-D30B-40AB-AE50-1CFB3D54DE23},37.781952,-122.491588,POINT (-122.49158778135016 37.78195200867507)
2004,0,1454,496 14TH ST,Thieve's Tavern,14TH,SIDEWALK,2,4,{ADC6AB23-D937-4872-9BA0-DA149BC694A7},37.76821,-122.42416,POINT (-122.42415979354834 37.76821000480774)
2002,0,280,1870 FILLMORE ST,Wine Jar,FILLMORE,SIDEWALK,1,2,{6D9FC476-D6AF-4091-A54A-2159F0CBFB38},37.786585,-122.433064,POINT (-122.4330642900614 37.78658477362949)
2010,0,1284,848 FOLSOM ST,Little Pizza,FOLSOM,SIDEWALK,1,2,{F62B1E7A-1AEC-4DDC-95B9-FD94900619FF},37.781342,-122.402601,POINT (-122.40260079597851 37.781342001902125)
2012,8,2595,4300 JUDAH ST,Beachside Cafe,JUDAH,SIDEWALK,2,4,{7FDC8410-55E5-41D9-BCE9-9BE21CCED1BA},37.760564,-122.508245,POINT (-122.50824478136305 37.76056401123917)
2013,4,2587,1201 GENEVA AVE,Tienda Santa Marta,NAPLES,SIDEWALK,1,2,{C7D3412E-F70F-407E-B3C5-DD419FC9D8F7},37.714332,-122.435815,POINT (-122.43581479843243 37.71433201006827)
2004,0,1198,2739 GEARY BLVD,Nani's Coffee,GEARY,SIDEWALK,1,2,{48A2A72F-BD55-4739-AAD7-2235F7666419},37.781966,-122.448479,POINT (-122.44847878896891 37.78196600498697)
2011,11,298,2 SACRAMENTO ST,Banana Republic,SACRAMENTO,SIDEWALK,1,2,{CD8556F4-614E-4D58-A45C-538B4F8162E6},37.794794,-122.39846,POINT (-122.3984595943451 37.79479359030371)
2003,0,2701,4720 03RD ST,Positive Directiond Equals Change,03RD,SIDEWALK,1,2,{E70C683B-762F-4626-AB29-794071B9FB96},37.735438,-122.390832,POINT (-122.39083180167651 37.73543800525371)
0,0,2430,939 EDDY ST,SF Gov Offices: Senior Developments,EDDY,SIDEWALK,1,2,{3D45A77C-A5B2-4A73-A44C-D3A044CE8058},37.782311,-122.423099,POINT (-122.42309879139384 37.782311003357236)
2015,1,2123,733 RANDOLPH ST,Norman's Liquor and Grocery,RANDOLPH,SIDEWALK,2,4,{8EF60C04-7C8B-4C24-A5D8-288995E235B2},37.714259,-122.4694,POINT (-122.46939979310997 37.71425901161845)
2012,2,2034,212 CLEMENT ST,Seedstore & Park Life,CLEMENT,SIDEWALK,1,2,{493FDDA6-68E0-4C2D-B830-9482A15DBB84},37.783311,-122.46179,POINT (-122.46178978705112 37.783311006281636)
2010,12,1678,1749 WALLER ST,Funkydoor Yoga Haight,WALLER,SIDEWALK,2,4,{BFCFD762-B985-489D-AC03-C25578AE342B},37.768052,-122.452476,POINT (-122.45247578844264 37.76805200688352)
2015,1,505,1605 JERROLD AVE,All Good Pizza,JERROLD,SIDEWALK,2,4,{54E488DF-B9CE-4F56-AD98-6C66A56AA233},37.738672,-122.389789,POINT (-122.3897892011109 37.73867150439206)
2003,0,2576,3033 24TH ST,Vallarta Taqueria,24TH,SIDEWALK,1,2,{52AE36C6-39C4-4882-A940-8858E2DD94E9},37.752394,-122.412554,POINT (-122.41255379750501 37.75239400482491)
2002,0,1125,85 02ND ST,UNKNOWN,02ND,SIDEWALK,1,2,{2AA6B222-DA06-4F54-8F9B-75C0354761C3},37.788452,-122.399871,POINT (-122.39987079475326 37.78845200067655)
2004,0,2901,50 POST ST,Crocker Galleria,POST,SIDEWALK,1,2,{B75AFEBB-1865-4B3E-925D-4DFEF4729024},37.789526,-122.403028,POINT (-122.40302779492892 37.78952600168295)
2011,11,401,800 POST ST,Cafe Royale,POST,SIDEWALK,1,2,{5FC0B7C3-AFC8-46CF-9C68-0D92A074144D},37.787595,-122.415255,POINT (-122.41525479328395 37.787595002639144)
2010,7,730,3380 20TH ST,Mr. Pickles,20TH,SIDEWALK,2,4,{9BCA9FA1-FD6C-41F4-8F03-C108CBEE526E},37.758998,-122.416525,POINT (-122.41652479610443 37.75899800490576)
2010,0,850,587 SHOTWELL ST,Interstice Architects Inc.,SHOTWELL,SIDEWALK,1,2,{A4699520-6BDD-44F6-B174-D293F97398B9},37.759075,-122.415262,POINT (-122.41526149623468 37.75907467500689)
2015,1,2581,565 SOUTH VAN NESS AVE,Kellymoore Paint Co.,SOUTH VAN NESS,SIDEWALK,1,2,{44C12F39-E2A4-4668-BB89-D8D415C4498A},37.764259,-122.417066,POINT (-122.41706549488732 37.76425940527705)
2015,1,2073,3092 16TH ST,Yo Yo Restaurant,VALENCIA,SIDEWALK,2,4,{C70073CD-69FB-44D7-8404-EAA7F2419FE1},37.765185,-122.421717,POINT (-122.42171749416025 37.765185104932634)
2015,1,2570,201 SANSOME ST,The Royal SF,SANSOME,SIDEWALK,1,2,{46A34C21-23B4-4DB9-B581-7A4689F8571B},37.792226,-122.401215,POINT (-122.40121499404502 37.79222640080365)
2005,0,2778,371 05TH ST,fitmob,05TH,SIDEWALK,1,2,{44D7AF30-3B11-4DBE-8B9B-43F6AED1C019},37.779538,-122.402076,POINT (-122.40207579544719 37.77953800194928)
2010,0,1588,2650 SLOAT BLVD,Java Beach Cafe,SLOAT,SIDEWALK,1,2,{DCA28452-E327-4442-A681-9C1C1AD64BAC},37.735684,-122.502897,POINT (-122.50289678496175 37.73568401310769)
2002,0,462,2217 UNION ST,Chez Moi,UNION,SIDEWALK,1,2,{1ACAACED-18D2-4F76-AE5E-ECE833B32652},37.796891,-122.435837,POINT (-122.43583678889688 37.79689100322806)
2015,1,137,500 GROVE ST,GROVE ST. MARKET,GROVE,SIDEWALK,2,4,{8283F141-DA62-40D2-BADA-4263C5C008E4},37.777741,-122.425042,POINT (-122.4250417920032 37.77774100348774)
2010,0,271,530 HAIGHT ST,Mad Dog in the Fog,HAIGHT,SIDEWALK,1,2,{C4F68C65-2051-493F-BBA7-5D4873605AD3},37.772271,-122.430831,POINT (-122.43083079184758 37.77227100465728)
2011,4,947,24 SHOTWELL ST,Yoga Tree,SHOTWELL,SIDEWALK,2,4,{413B9A03-E682-4746-832A-F2DAD21597D7},37.767982,-122.41696,POINT (-122.41695979458902 37.7679820041996)
2005,0,1388,3125 16TH ST,Little Roxie Cinema,16TH,SIDEWALK,1,2,{1FED8483-2C09-4F63-A9A4-E9F13FC280A6},37.764618,-122.422401,POINT (-122.42240129408889 37.7646184447661)
2003,0,1943,1686 15TH ST,Bridges Architecture,15TH,SIDEWALK,1,2,{B68CC5E7-3CEC-42E2-866F-A8D3C8C95BDB},37.766806,-122.421739,POINT (-122.42173929417032 37.766806064364665)
2010,0,2811,790 VAN NESS AVE,Cafe Sapore,VAN NESS,SIDEWALK,1,2,{793350F2-DE05-4201-86D0-8E2C948B64DC},37.78269,-122.420327,POINT (-122.42032679250032 37.78269000278199)
2002,0,1287,203 OCTAVIA ST,Straw Carnival Fare,OCTAVIA,SIDEWALK,1,2,{21E0E122-A4B4-4DBE-946B-A47624119816},37.773988,-122.42431,POINT (-122.424309792976 37.77398800385502)
2002,0,699,3083 16TH ST,Al Harmi Indian and Pakistani Restaurant,16TH,SIDEWALK,1,2,{02B096BB-61D0-40F8-93F2-17F1A0EB6733},37.764677,-122.421315,POINT (-122.42131479479094 37.76467700534234)
2002,0,2396,657 MISSION ST,GLBT Historical Society,MISSION,SIDEWALK,1,2,{268D7C40-015E-405A-81B6-28D94F5C06A8},37.786705,-122.400827,POINT (-122.40082679479586 37.786705000845735)
2010,7,1983,2498 FOLSOM ST,Jose Coronado Playground,21ST; FOLSOM,SIDEWALK,2,4,{7CC9E999-AE11-40E7-B79E-1DFD160AA777},37.757541,-122.415093,POINT (-122.41509269726184 37.75754128451545)
2004,0,721,659 HAIGHT ST,UNKNOWN,HAIGHT,SIDEWALK,1,2,{EF122F73-89C8-4E88-8989-7DFD349E40EF},37.771525,-122.432978,POINT (-122.43297779179467 37.77152500491751)
2016,9,3517,198 GOUGH ST,20th Century Café,GOUGH,SIDEWALK,1,2,{0479D5E8-9276-42D4-B609-7A4CF29B4962},37.775018,-122.42251,POINT (-122.42250977976549 37.77501758071477)
2006,0,109,366 COLUMBUS AVE,Buster's Cheesesteak,VALLEJO,SIDEWALK,1,2,{B358678C-34B1-429A-A9AC-E8FEC2C73AC6},37.79856,-122.407335,POINT (-122.40733499257088 37.798559900496464)
2013,7,1532,5112 03RD ST,AA Photography,03RD,SIDEWALK,1,2,{04D9C7A0-13C9-4FD9-939F-A046B34CD118},37.732196,-122.391949,POINT (-122.3919490029184 37.7321961754027)
2006,0,1776,4235 19TH ST,Harvey Milk Civil Rights Academy,19TH,SIDEWALK,1,2,{EC66CCA9-B4FD-432F-AB81-E4566A8DF1A0},37.758923,-122.436434,POINT (-122.43643379258431 37.758923006327755)
2004,0,1110,1360 09TH AVE,Nan King Road Bistro,09TH,SIDEWALK,1,2,{6524C533-3D8D-4975-9E6A-BC44C42EED52},37.762911,-122.46589,POINT (-122.4658897882906 37.762911008513065)
2016,8,3592,555 Post Street,Commonwealth Club of CA,POST,SIDEWALK,3,6,{2F80261D-FFE3-4120-91A5-5F4D2BF14086},37.787899,-122.410943,POINT (-122.41094308281919 37.78789932493133)
2006,0,2285,594 VALENCIA ST,residential,VALENCIA,SIDEWALK,1,2,{354C123D-9808-46A0-BC11-AED0931432BF},37.763443,-122.42203,POINT (-122.42202979421474 37.76344300522778)
2006,0,406,1855 HAIGHT ST,Amoeba Music,HAIGHT,SIDEWALK,1,2,{29CD0DF8-4C85-47A4-A039-0414302BEAB9},37.768917,-122.452607,POINT (-122.45260678840484 37.76891700641215)
2012,5,2399,451 JUDAH ST,Fluid Yoga,JUDAH,SIDEWALK,1,2,{0149AC10-8C4D-40D5-9992-630B410A1CDC},37.761884,-122.467045,POINT (-122.46704478824225 37.76188400811002)
2013,9,241,2420 SUTTER ST,UCSF Mount Zion,SUTTER,SIDEWALK,1,2,{6D246711-36F2-40C1-BA56-51DD03241EF1},37.785438,-122.440577,POINT (-122.44057678893746 37.78543800498274)
2004,0,2716,225 KING ST,Rich Sorro Commons,KING,SIDEWALK,3,3,{0026FEE1-FDE7-4259-BA7F-DB712BA514A5},37.777201,-122.392655,POINT (-122.39265479763841 37.77720100140577)
2010,0,2065,1223 TARAVAL ST,Liquor Locker,TARAVAL,SIDEWALK,1,2,{EB8CCDFA-EECF-45FF-B417-9BA00F789F50},37.742637,-122.479324,POINT (-122.47932378879892 37.74263701055832)
2017,5,3274,2636 San Bruno Avenue,Ferment Drink Repeat,SAN BRUNO,SIDEWALK,1,2,{1E8234CA-1C74-4C53-A7C1-3A5AFE21FCA6},37.728362,-122.403991,POINT (-122.40399145389385 37.72836248260445)
2005,0,2788,1300 DOLORES ST,Luv A Java,26TH,SIDEWALK,1,2,{6575FB19-77FE-4060-B380-6691237324E9},37.748485,-122.425163,POINT (-122.42516279580215 37.74848500674723)
2002,0,1271,1900 GEARY BLVD,Hamilton Recreation Center,GEARY,SIDEWALK,1,2,{07A7A90D-F388-4056-BDFC-24DE7E47DB43},37.784373,-122.436309,POINT (-122.43630878953891 37.78437300390453)
2016,7,3539,234 Hyde Street,Faithful Fools Street Ministry,HYDE,SIDEWALK,1,2,{D7BC5F6F-370B-4808-837F-23E7F07DC9F6},37.782927,-122.415676,POINT (-122.41567565066008 37.782927350807796)
2011,8,358,501 CASTRO ST,Bank of America,CASTRO,SIDEWALK,1,2,{FFF5FCF9-0169-4CCA-B54E-B7CB06AB659A},37.760623,-122.434688,POINT (-122.43468779305587 37.76062300672417)
2004,0,710,1490 03RD ST,UCSF,03RD,SIDEWALK,3,3,{15CC65B2-6783-4F99-9A22-C9C1C0FB8B95},37.770141,-122.389858,POINT (-122.38985779819565 37.77014138205314)
2000,0,2806,1304 VALENCIA ST,Muddy Waters coffee shop,VALENCIA,SIDEWALK,1,2,{BC8D727C-6809-42C5-A4DB-EF08C38E3BEC},37.751846,-122.420922,POINT (-122.42092179689227 37.75184600612007)
2017,1,3453,1770  Post Street,UPS Store,POST,SIDEWALK,2,4,{E368F89E-920E-4D74-A3E8-0ED0A6E3E317},37.785498,-122.430907,POINT (-122.43090652841927 37.78549761418501)
2013,11,286,799 MARKET ST,Ross,MARKET,SIDEWALK,5,10,{D76A24FE-0123-49B7-BABB-20376073064D},37.785642,-122.405252,POINT (-122.4052517943867 37.7856420012269)
2015,1,95,1 MARKET ST,Diva International Salon,MARKET,SIDEWALK,3,6,{595A132F-2E09-4729-BEC3-9BE232B51E6A},37.793823,-122.394797,POINT (-122.3947967949242 37.79382270025245)
2012,7,969,3382 26TH ST,Jamestown Community Center,26TH,SIDEWALK,3,6,{68E88340-0218-4185-9E5C-CCABC3B6E32E},37.749238,-122.417673,POINT (-122.4176727968186 37.749238005340665)
2014,7,1765,3626 BALBOA ST,rams,BALBOA,SIDEWALK,2,4,{43267C3B-1C92-4905-B299-7080B03EE8ED},37.776037,-122.49805,POINT (-122.49804998151387 37.77603748871113)
2010,0,2471,1665 MARKET ST,NatÆl Holistic Institute campus,MARKET,SIDEWALK,1,2,{2CAAF682-B32B-4F73-9418-BD9B84D5C05E},37.772958,-122.42142,POINT (-122.4214197939507 37.77295800385389)
2015,10,1161,144 TAYLOR ST,PianoFight,TAYLOR,SIDEWALK,2,4,{00E73F6B-280E-4442-986B-E0C1D6ED56C8},37.783644,-122.410764,POINT (-122.41076384063727 37.78364406455026)
2015,9,2906,560 MISSION ST,CommonWealth Partners,ANTHONY,SIDEWALK,2,4,{D428EBA1-20F9-42FB-ACEC-AE37AF8EA8C2},37.788847,-122.398857,POINT (-122.39885650962557 37.788847322108964)
2015,1,706,309 06TH AVE,Little Vietnam Cafe,06TH,SIDEWALK,1,2,{0007167C-FA12-4A4D-8A1B-7068F3B4B00C},37.782673,-122.464616,POINT (-122.46461618518106 37.78267280608351)
2006,0,176,3420 18TH ST,All Muffler Auto Service,18TH,SIDEWALK,1,2,{F1A710D0-5022-433A-BE5D-0CE80987295F},37.761999,-122.419973,POINT (-122.41997279534712 37.76199900508334)
2012,7,1245,2095 HAYES ST,Sacred Grounds Coffee,HAYES,SIDEWALK,1,2,{1D44089F-E4BB-4E9A-9D6F-0E9629480BA2},37.773189,-122.450635,POINT (-122.45063538926105 37.77318924635123)
0,0,940,598 VALENCIA ST,El Toro Taqueria,VALENCIA,SIDEWALK,1,2,{CFB95E52-DF01-4529-812E-4612FFAD8923},37.763443,-122.42203,POINT (-122.42202979421474 37.76344300522778)
2011,6,1541,393 ASHTON AVE,Barber Shop,ASHTON,SIDEWALK,1,2,{CCDD303C-6D71-41F3-9158-551B18552EB1},37.725025,-122.462485,POINT (-122.46248489290736 37.72502537094752)
2004,0,339,602 HAIGHT ST,UNKNOWN,HAIGHT,SIDEWALK,1,2,{CBC6F922-8652-414B-845A-377A04DBFAE4},37.77208,-122.432298,POINT (-122.43229779246697 37.77208000489593)
2013,9,2127,88 SPEAR ST,Walgreens,SPEAR,SIDEWALK,1,2,{9A157359-223F-413C-A912-1E83A79D8A64},37.792531,-122.39458,POINT (-122.39457979493324 37.792531000354955)
2013,4,2165,853 VALENCIA ST,Amnesia,VALENCIA,SIDEWALK,2,4,{2763D10E-FFCC-4047-8A04-FFEAA0A05A3D},37.759314,-122.421055,POINT (-122.42105479518196 37.759314005398465)
2012,9,1549,1372 MISSION ST,St. James Infirmary,MISSION,SIDEWALK,1,2,{D78B9557-64A9-4774-A492-713DD2BE736E},37.775733,-122.415723,POINT (-122.41572279434254 37.77573322369157)
2017,4,3467,2760 Mission St,Liberation Law Group,MISSION,SIDEWALK,1,2,{13536049-A58F-40C5-B0D8-F7E34373A1F9},37.752864,-122.41859,POINT (-122.41859015864074 37.752864446233644)
2015,9,887,1144 HOWARD ST,Cellarmaker Brewing Company,HOWARD,SIDEWALK,2,4,{7A4E5F04-599D-4681-A2D3-F0A6FBB80F67},37.777191,-122.410504,POINT (-122.41050364336616 37.77719078331363)
2015,1,2602,98 WEST PORTAL AVE,Chase Bank,WEST PORTAL,SIDEWALK,1,2,{CC9C0340-43B8-4136-BA28-2801F4B19957},37.73998,-122.467121,POINT (-122.46712089033353 37.739980310157705)
2010,0,266,741 DIAMOND ST,Academy of Art University,DIAMOND,SIDEWALK,2,4,{C73E85A9-D101-4579-A18A-69502057913B},37.751412,-122.436116,POINT (-122.43611579370518 37.75141200729562)
2015,11,2845,50 FELL ST,LePort Montessori School,FELL,SIDEWALK,4,8,{AE45C718-5C34-4CD1-ABA3-C80DFA1147BB},37.776563,-122.418505,POINT (-122.4185051747829 37.776562611712315)
2003,0,2119,360 18TH AVE,YMCA,18TH,SIDEWALK,1,2,{CF5D2C1A-6B55-48CA-93F9-FB9824F388BC},37.781266,-122.476955,POINT (-122.47695478374425 37.78126600753286)
2011,3,2326,2898 FOLSOM ST,R Image Market,FOLSOM,SIDEWALK,2,4,{514076EE-C88C-4E89-9211-7B456DB752CB},37.751015,-122.414232,POINT (-122.41423179667211 37.751015004776775)
2002,0,1650,1790 SUTTER ST,Super Mira,SUTTER,SIDEWALK,1,2,{43F2C4C4-AF62-4347-AC91-79DB389D9122},37.786731,-122.42977,POINT (-122.42976979038669 37.78673100354106)
2005,0,1914,1246 FOLSOM ST,UNKNOWN,FOLSOM,SIDEWALK,1,2,{465FC346-F620-45AE-AB8F-E899B876746A},37.774584,-122.410981,POINT (-122.41098079411138 37.774584002752036)
